sample_file_name,path,classID,class
Hi_Tom1.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Hi_Tom1.wav,tom,6
BAND OF BROTHERS KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Band Of Brothers/BAND OF BROTHERS KICK.wav,kick,0
Clap2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/BurialSamples/Clap2.wav,clap,3
6-8 Metal Crasher 61-09.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/6-8 Loops/Perc Loops/6-8 Metal Crasher 61-09.wav,crash,5
JUMPY MAN SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Jumpy Man/JUMPY MAN SNARE.wav,snare,1
Ride_02.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_02.wav,ride,4
BAND OF BROTHERS SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Band Of Brothers/BAND OF BROTHERS SNARE.wav,snare,1
DubK2PercussionFX126-05.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2PercussionFX126-05.wav,perc,7
WEEPING WILLOW TOMS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Weeping Willow/WEEPING WILLOW TOMS.wav,tom,6
DS01808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit01/DS01808Clave.wav,clave,9
6-8 Cowbell 02 66-10.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/6-8 Loops/Perc Loops/6-8 Cowbell 02 66-10.wav,cowbell,8
MANY TIMES HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Many Times/MANY TIMES HI-HATS.wav,hat,2
6-8 Cowbell 01 66-09.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/6-8 Loops/Perc Loops/6-8 Cowbell 01 66-09.wav,cowbell,8
Ride_04.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_04.wav,ride,4
DS04808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit04/DS04808Clave.wav,clave,9
DubK2Percussion126-03.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2Percussion126-03.wav,perc,7
Lo_Tom2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Lo_Tom2.wav,tom,6
LIFE RIDE KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE KICK.wav,ride,4
Hi Crash.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Instruments/Hi Crash.wav,crash,5
Traxx Project - Cowbell Happy 2 [174bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Traxx Project - Cowbell Happy 2 [174bpm].wav,cowbell,8
DS00808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit00/DS00808Clave.wav,clave,9
Clave Groovin.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Stones Throw Drum Kit/Groovin Kit Samples/Clave Groovin.wav,clave,9
FUNK MOWER SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Funk Mower/FUNK MOWER SNARE.wav,snare,1
BRIGHT AT NIGHT SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Bright At Night/BRIGHT AT NIGHT SNARE.wav,snare,1
LIFE RIDE SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE SNARE.wav,snare,1
Crash.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Instruments/Crash.wav,crash,5
Reverse Crash.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Instruments/Reverse Crash.wav,crash,5
DS03808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit03/DS03808Clave.wav,clave,9
CLAP.1.NEPT.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Neptunes/CLAP/CLAP.1.NEPT.wav,clap,3
LM1 Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Linn LM1/LM1 Clave.wav,clave,9
Cowbell Zion.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Stones Throw Drum Kit/Zion Kit Samples/Cowbell Zion.wav,cowbell,8
HOT GRITS SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Hot Grits/HOT GRITS SNARE.wav,snare,1
Ride_01.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_01.wav,ride,4
FUNK MOWER KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Funk Mower/FUNK MOWER KICK.wav,kick,0
Clap 2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Claps/Clap 2.wav,clap,3
LAZY BABY KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Lazy Baby/LAZY BABY KICK.wav,kick,0
Crash 02 87-10.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/One Shots/Cymbals/Crash 02 87-10.wav,crash,5
JUMPY MAN HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Jumpy Man/JUMPY MAN HI-HATS.wav,hat,2
HONOR ROLE HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Honor Role/HONOR ROLE HI-HATS.wav,hat,2
Clap 4.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Claps/Clap 4.wav,clap,3
RA Cowbell.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Ace Tone Rhythm Ace/Acetone Rhythm Ace/RA Cowbell.wav,cowbell,8
DS02808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit02/DS02808Clave.wav,clave,9
LIFE RIDE SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE SNARE.wav,ride,4
Hi_Tom2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Hi_Tom2.wav,tom,6
DR550Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Boss DR-550/DR550Clave.wav,clave,9
RA Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Ace Tone Rhythm Ace/Acetone Rhythm Ace/RA Clave.wav,clave,9
DubK2PercussionFX126-04.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2PercussionFX126-04.wav,perc,7
Crash 01 87-05.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/One Shots/Cymbals/Crash 01 87-05.wav,crash,5
Mid_Tom1.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Mid_Tom1.wav,tom,6
DubK2PercussionFX126-02.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2PercussionFX126-02.wav,perc,7
Symptom - Dragon Break [174bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Symptom - Dragon Break [174bpm].wav,tom,6
Ride_03.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_03.wav,ride,4
Crash Groovin 1.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Stones Throw Drum Kit/Groovin Kit Samples/Crash Groovin 1.wav,crash,5
Fox Stevenson - High Ride 1 [175bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Fox Stevenson - High Ride 1 [175bpm].wav,ride,4
Clap1.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/BurialSamples/Clap1.wav,clap,3
Dnl_Kick.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Kicks/Dnl_Kick.wav,kick,0
Metal Crasher 02 70-04.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/Brushes/Perc Loops/Metal Crasher 02 70-04.wav,crash,5
Clap 3.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Claps/Clap 3.wav,clap,3
DubK2Percussion126-04.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2Percussion126-04.wav,perc,7
LAZY BABY SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Lazy Baby/LAZY BABY SNARE.wav,snare,1
Mid_Tom2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Mid_Tom2.wav,tom,6
Lo_Tom1.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Lo_Tom1.wav,tom,6
CLAP.3.NEPT.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Neptunes/CLAP/CLAP.3.NEPT.wav,clap,3
LIFE RIDE ALL.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE ALL.wav,ride,4
DR220eCowbell.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Boss DR-220e/DR220eCowbell.wav,cowbell,8
BRIGHT AT NIGHT KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Bright At Night/BRIGHT AT NIGHT KICK.wav,kick,0
Metal Crasher 01 70-03.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/Brushes/Perc Loops/Metal Crasher 01 70-03.wav,crash,5
DubK2PercussionFX126-03.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2PercussionFX126-03.wav,perc,7
DubK2PercussionFX126-01.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2PercussionFX126-01.wav,perc,7
HOT GRITS KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Hot Grits/HOT GRITS KICK.wav,kick,0
JUMPY MAN KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Jumpy Man/JUMPY MAN KICK.wav,kick,0
CLAP.2.NEPT.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Neptunes/CLAP/CLAP.2.NEPT.wav,clap,3
DR550Cowbell.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Boss DR-550/DR550Cowbell.wav,cowbell,8
wath_cowbell_127_01.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Tribal And Tech House/WAV/percussion loops/wath_cowbell_127_01.wav,cowbell,8
HONOR ROLE KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Honor Role/HONOR ROLE KICK.wav,kick,0
BAND OF BROTHERS HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Band Of Brothers/BAND OF BROTHERS HI-HATS.wav,hat,2
HONOR ROLE SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Honor Role/HONOR ROLE SNARE.wav,snare,1
LIFE RIDE TAMS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE TAMS.wav,ride,4
LET IT BE SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Let It Be/LET IT BE SNARE.wav,snare,1
LIFE RIDE HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE HI-HATS.wav,hat,2
RZ1Cowbell.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Casio RZ1/RZ1Cowbell.wav,cowbell,8
AIR TIGHTLEY KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Air Tightley/AIR TIGHTLEY KICK.wav,kick,0
LAZY BABY HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Lazy Baby/LAZY BABY HI-HATS.wav,hat,2
Traxx Project - Cowbell Happy [174bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Traxx Project - Cowbell Happy [174bpm].wav,cowbell,8
Symptom - Black Hole Break [174bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Symptom - Black Hole Break [174bpm].wav,tom,6
DubK2Percussion126-01.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2Percussion126-01.wav,perc,7
DubK2Percussion126-05.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2Percussion126-05.wav,perc,7
Crash 03 87-15.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/One Shots/Cymbals/Crash 03 87-15.wav,crash,5
Symptom - Heart Amen [174bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Symptom - Heart Amen [174bpm].wav,tom,6
AIR TIGHTLEY SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Air Tightley/AIR TIGHTLEY SNARE.wav,snare,1
MTClaves.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Linn LM1/MT-32/MTClaves.wav,clave,9
Clap 5.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Claps/Clap 5.wav,clap,3
LET IT BE HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Let It Be/LET IT BE HI-HATS.wav,hat,2
DubK2Percussion126-02.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2Percussion126-02.wav,perc,7
AIR TIGHTLEY HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Air Tightley/AIR TIGHTLEY HI-HATS.wav,hat,2
Afr_Kick.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Kicks/Afr_Kick.wav,kick,0
LIFE RIDE HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE HI-HATS.wav,ride,4
CLAP.4.NEPT.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Neptunes/CLAP/CLAP.4.NEPT.wav,clap,3
HOT GRITS HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Hot Grits/HOT GRITS HI-HATS.wav,hat,2
FUNK MOWER HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Funk Mower/FUNK MOWER HI-HATS.wav,hat,2
